Title,Handle,Collection,Body (HTML),Tags,Image Src
Protea Suite,protea-suite,Invitation,"<p>allebasi & anna invitations// watercolor protea// hand illustrated// classic typography</p><br><br>PIECE DETAILS<br><br>Ceremony Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Reception Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Ceremony and Reception Invitation: double sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $2.00 <br><br>RSVP Card: double sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Hand-lettered envelope: (7.25 x 5.25"""")(18.4 x 13.3 cm) $3.00 <br><br>Details: single sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Thank you card: single sided, corresponding kraft or white envelope included (3.5 x 5"""")/(8.9 x 12.7 cm) $2.00<br> <br>If you would like bespoke additional pieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br> <br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br>","wedding invitation, protea","protea-1.jpg,protea-2.jpg,protea-3.jpg,protea-4.jpg,protea-5.jpg,protea-6.jpg"
Peony Suite,peony-suite,Invitation,"<p>allebasi & anna invitations// watercolor peony// hand illustrated// floral detail</p> <br><br>PIECE DETAILS<br><br>Ceremony Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Reception Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Ceremony and Reception Invitation: double sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $2.00 <br><br>RSVP Card: double sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Hand-lettered envelope: (7.25 x 5.25"""")(18.4 x 13.3 cm) $3.00 <br><br>Details: single sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Thank you card: single sided, corresponding kraft or white envelope included (3.5 x 5"""")/(8.9 x 12.7 cm) $2.00<br> <br>If you would like bespoke additional pieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br> <br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br>","wedding invitation, peony","peony-1.jpg,peony-2.jpg,peony-3.jpg,peony-4.jpg,peony-5.jpg,peony-6.jpg"
Faded Eucalypt,faded-eucalypt,Invitation,"<p>allebasi & anna invitations// watercolor eucalypt// hand illustrated// hand lettered</p><br><br>PIECE DETAILS<br><br>Ceremony Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Reception Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Ceremony and Reception Invitation: double sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $2.00 <br><br>RSVP Card: double sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Hand-lettered envelope: (7.25 x 5.25"""")(18.4 x 13.3 cm) $3.00 <br><br>Details: single sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Thank you card: single sided, corresponding kraft or white envelope included (3.5 x 5"""")/(8.9 x 12.7 cm) $2.00<br> <br>If you would like bespoke additional pieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br> <br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br>","wedding invitation, protea","faded-eucalypt-1.jpg,faded-eucalypt-2.jpg,faded-eucalypt-3.jpg,faded-eucalypt-4.jpg,faded-eucalypt-5.jpg"
Eucalypt Suite,gold-eucalypt,Invitation,"<p>allebasi & anna invitations// eucalyptus drawing// hand illustrated// hand lettering// gold illustration</p> <br><br>PIECE DETAILS<br><br>Ceremony Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Reception Invitation: single sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $1.50<br> <br>Ceremony and Reception Invitation: double sided, corresponding kraft or white envelope included (5 x 7"""")/( 12.7 x 17.8 cm) $2.00 <br><br>RSVP Card: double sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Hand-lettered envelope: (7.25 x 5.25"""")(18.4 x 13.3 cm) $3.00 <br><br>Details: single sided (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br><br>Thank you card: single sided, corresponding kraft or white envelope included (3.5 x 5"""")/(8.9 x 12.7 cm) $2.00<br> <br>If you would like bespoke additional pieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br> <br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br><br> This product is not gold foil. Please reach out for pricing for gold foil on this product!<br>","wedding invitation, eucolyptus ","gold-eucalypt-1.jpg,gold-eucalypt-2.jpg,gold-eucalypt-3.jpg,gold-eucalypt-4.jpg"
Save The Date,save-the-date,Invitation,"<p>allebasi & anna invitations// save the date// hand illustrated// hand lettering// </p><br><br>PIECE DETAILS<br> <br>Invitaiton: single sided, corresponding kraft or white envelope included (4 x 6"""")/(10.16 x 15.24 cm) $1.50 <br>If you would like additional bespokepieces please do not hesitate to reach out! Additional options for envelope color are available upon request and for an additional fee. <br> <br>Please note there is a minimum order of 30 pieces per item. <br> <br>DETAILS<br><br> All stationary is printed on matte smooth 100 lb/250 gsm paper. <br> <br>DISCLAIMER<br> <br> Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as closely as possible. <br>","wedding invitation, save the date","save-the-date-1.jpg,save-the-date-2.jpg,save-the-date-3.jpg,save-the-date-4.jpg,save-the-date-5.jpg"
Gemstone Collection,gemstone-collection,Illustration,"<p>watercolor illustration// gemstone// collection//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",gemstone-collection-1.jpg
Planets,planets,Illustration,"<p>watercolor illustration// solar system// space// planets//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00<br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, planet, space, solar system","planets-1.jpg,planets-2.jpg,planets-3.jpg,planets-4.jpg"
Australia,australia,Illustration,"<p>watercolor illustration// typographic map// australia//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, map, australia",australia.jpg
Circle Blue Gemstone,circle-blue-gemstone,Illustration,"<p>watercolor illustration// gemstone// blue// circle//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",circle-blue-gemstone.jpg
Cushion Green Gemstone,cushion-green-gemstone,Illustration,"<p>watercolor illustration// gemstone// green// cushion//</p><br><br>PIECE DETAILS<br><br>Colour print: single sided (21 cm x 29.7 cm - A4) $20.00 <br><br><br> Please do not hestiate to contact me for pricing of altnerate dimensions!<br><br>SHIPPING<br<br>Please allow 7 business days post payment for shipment of printed products.<br>All stationary is printed on matte smooth 100 lb/250 gsm paper. <br><br><b>Disclaimer</b>Items are for personal use, not resale. Please note there may be slight differences between the color of the product on your screen and the printed design. I will do my absolute best to match the color as close as possible.<br>Frame and vases are not included in the product.<br>","watercolor, gemstone",cushion-green-gemstone.jpg
